,,0,1,2
session_duration,mean,1207.4935,943.6691470588236,5607.749
session_duration,median,1238.0705,861.6145,5607.749
count_Teleport,mean,41.5,23.41176470588235,68.0
count_Teleport,median,39.5,22.0,68.0
count_Release,mean,19.25,4.911764705882353,45.0
count_Release,median,20.5,3.0,45.0
count_PlayVideo,mean,2.75,2.9411764705882355,5.0
count_PlayVideo,median,2.0,2.5,5.0
count_Pause,mean,7.0,3.264705882352941,8.0
count_Pause,median,6.0,3.0,8.0
count_Resume,mean,2.375,0.8235294117647058,4.0
count_Resume,median,2.0,1.0,4.0
count_Touch,mean,24.5,6.911764705882353,47.0
count_Touch,median,26.5,7.0,47.0
unique_concepts_touched,mean,9.125,3.176470588235294,12.0
unique_concepts_touched,median,9.5,3.0,12.0
concept_concept_IaaS,mean,1.125,0.14705882352941177,4.0
concept_concept_IaaS,median,1.0,0.0,4.0
concept_concept_On-Premises,mean,0.5,0.11764705882352941,0.0
concept_concept_On-Premises,median,0.5,0.0,0.0
concept_concept_PaaS,mean,1.875,0.4411764705882353,4.0
concept_concept_PaaS,median,1.5,0.0,4.0
concept_concept_SaaS,mean,2.5,0.6470588235294118,2.0
concept_concept_SaaS,median,1.0,0.0,2.0
concept_concept_caratteristica,mean,3.75,1.2941176470588236,2.0
concept_concept_caratteristica,median,3.0,0.0,2.0
concept_concept_cloud_computing,mean,2.5,1.2941176470588236,0.0
concept_concept_cloud_computing,median,1.0,0.0,0.0
concept_concept_fornitore_del_servizio,mean,1.75,0.38235294117647056,9.0
concept_concept_fornitore_del_servizio,median,1.0,0.0,9.0
concept_concept_infrastruttura_cloud,mean,2.5,0.17647058823529413,5.0
concept_concept_infrastruttura_cloud,median,1.0,0.0,5.0
concept_concept_livello_astratto,mean,1.625,0.5294117647058824,5.0
concept_concept_livello_astratto,median,1.0,0.0,5.0
concept_concept_livello_fisico,mean,0.5,0.17647058823529413,1.0
concept_concept_livello_fisico,median,0.0,0.0,1.0
concept_concept_modello_di_cloud,mean,3.375,0.9705882352941176,11.0
concept_concept_modello_di_cloud,median,2.0,0.0,11.0
concept_concept_risorse_hardware,mean,1.25,0.47058823529411764,2.0
concept_concept_risorse_hardware,median,0.0,0.0,2.0
concept_concept_servizio,mean,0.625,0.0,1.0
concept_concept_servizio,median,1.0,0.0,1.0
concept_concept_software,mean,0.625,0.2647058823529412,1.0
concept_concept_software,median,0.0,0.0,1.0
