model,k,silhouette,calinski_harabasz,davies_bouldin,n_clusters
Agglomerative_ward_k=3,3.0,0.1911460324611325,4.975441438788407,1.2807287568104069,3
Agglomerative_ward_k=5,5.0,0.16292727493125342,4.779240829440411,1.28803304020556,5
KMeans_k=4,4.0,0.15997110975013246,4.926156918711529,1.353003712687887,4
GMM_full_k=4,4.0,0.15997110975013246,4.926156918711529,1.353003712687887,4
Agglomerative_ward_k=4,4.0,0.15997110975013246,4.926156918711529,1.3530037126878873,4
Agglomerative_ward_k=6,6.0,0.15699188162879252,4.452085048433773,1.1160635243594825,6
Agglomerative_ward_k=7,7.0,0.15346944044527128,4.310632733830525,1.0261261468680447,7
KMeans_k=5,5.0,0.15334668318460482,4.5083084730516285,1.286326356798487,5
GMM_full_k=5,5.0,0.1526978307721766,4.272769451057121,1.1936644204226714,5
KMeans_k=7,7.0,0.1526508660429152,3.9768168918215965,0.9720833006518609,7
KMeans_k=3,3.0,0.1427745436762187,4.921661156668124,1.7374537853647567,3
GMM_full_k=3,3.0,0.1427745436762187,4.921661156668124,1.7374537853647567,3
KMeans_k=6,6.0,0.14181218668660814,3.9752160559752228,1.027450300519286,6
GMM_full_k=6,6.0,0.14181218668660814,3.9752160559752228,1.027450300519286,6
GMM_full_k=7,7.0,0.1333867979377068,3.893434531543881,0.950445556057027,7
Spectral_nn=10_k=4,4.0,0.1247415863042725,4.472414733704219,1.6731772129226314,4
Spectral_nn=10_k=3,3.0,0.11762176900298367,4.52565565460503,1.8642516081807334,3
Spectral_nn=10_k=7,7.0,0.08589925709487255,3.5439814894392083,1.0146265750883001,7
Spectral_nn=10_k=5,5.0,0.07995283410440424,3.5520451085926235,1.7032568825415528,5
Spectral_nn=10_k=6,6.0,0.06528636172179302,3.585485038512719,1.501264349100478,6
"DBSCAN_auto(eps~9.439,min=5)",,,,,1
