Timestamp,Action,ActionID,Direction
2024-12-16 09:16:56.582,Teleport,,R
2024-12-16 09:16:59.241,Teleport,,R
2024-12-16 09:17:03.280,Teleport,,R
2024-12-16 09:17:07.636,Teleport,,R
2024-12-16 09:17:09.229,Teleport,,R
2024-12-16 09:17:10.982,Teleport,,R
2024-12-16 09:17:12.769,Teleport,,R
2024-12-16 09:17:17.865,Teleport,,R
2024-12-16 09:17:19.508,Teleport,,R
2024-12-16 09:17:22.426,Teleport,,R
2024-12-16 09:17:23.866,Teleport,,R
2024-12-16 09:17:33.289,Teleport,,R
2024-12-16 09:17:41.430,Teleport,,R
2024-12-16 09:17:43.671,Teleport,,R
2024-12-16 09:17:47.914,Teleport,,R
2024-12-16 09:17:53.610,Teleport,,R
2024-12-16 09:17:59.560,PlayVideo,video_zTcsSwKffL4,
2024-12-16 09:18:01.438,PlayVideo,video_zTcsSwKffL4,
2024-12-16 09:32:53.726,Teleport,,R
2024-12-16 09:32:56.959,PlayVideo,video_zTcsSwKffL4,
2024-12-16 09:41:11.666,Teleport,,R
2024-12-16 09:41:23.374,Teleport,,R
2024-12-16 09:41:25.830,Touch,concept_modello_di_cloud,R
2024-12-16 09:41:27.537,Teleport,,R
2024-12-16 09:41:37.619,Touch,concept_infrastruttura_cloud,R
2024-12-16 09:41:58.595,Teleport,,R
2024-12-16 09:42:14.777,PlayAnnotation,ann8,
2024-12-16 09:43:17.401,PlayAnnotation,ann8,
2024-12-16 09:43:20.739,PlayVideo,video_zTcsSwKffL4,
2024-12-16 09:43:24.951,Teleport,,R
2024-12-16 09:43:28.621,Pause,,
2024-12-16 09:43:45.662,Teleport,,R
2024-12-16 09:43:49.534,Teleport,,R
2024-12-16 09:43:53.693,PlayVideo,video_zTcsSwKffL4,
2024-12-16 09:43:54.749,Touch,concept_risorse_hardware,R
2024-12-16 09:44:02.608,PlayAnnotation,ann6,
2024-12-16 09:44:28.833,Pause,,
2024-12-16 09:44:50.107,Grab,,R
2024-12-16 09:44:50.159,Release,,R
2024-12-16 09:44:50.187,Grab,,R
2024-12-16 09:44:50.338,Release,,R
2024-12-16 09:45:02.103,Touch,concept_SaaS,R
2024-12-16 09:45:06.134,Touch,concept_SaaS,R
2024-12-16 09:45:08.374,Touch,concept_SaaS,R
2024-12-16 09:45:10.553,Touch,concept_SaaS,R
2024-12-16 09:45:11.860,Grab,concept_SaaS,R
2024-12-16 09:45:16.209,Release,concept_SaaS,R
