Timestamp,Action,ActionID,Direction
2024-12-12 09:45:58.240,Teleport,,L
2024-12-12 09:45:58.542,Teleport,,L
2024-12-12 09:46:23.566,Teleport,,R
2024-12-12 09:46:25.241,Teleport,,R
2024-12-12 09:46:37.909,Teleport,,R
2024-12-12 09:46:39.172,Teleport,,R
2024-12-12 09:47:08.803,Teleport,,R
2024-12-12 09:47:11.101,Teleport,,R
2024-12-12 09:47:15.250,Teleport,,R
2024-12-12 09:47:35.920,Grab,,L
2024-12-12 09:47:38.882,Grab,,R
2024-12-12 09:47:38.978,Release,,R
2024-12-12 09:47:40.357,Release,,L
2024-12-12 09:47:44.343,PlayVideo,video_zTcsSwKffL4,
2024-12-12 09:47:49.320,Grab,,R
2024-12-12 09:47:49.361,Release,,R
2024-12-12 09:51:23.611,Teleport,,R
2024-12-12 09:54:23.733,Teleport,,R
2024-12-12 09:54:28.474,Touch,concept_modello_di_cloud,R
2024-12-12 09:54:29.476,Teleport,,R
2024-12-12 09:54:29.706,Teleport,,R
2024-12-12 09:54:33.229,Teleport,,R
2024-12-12 09:54:42.637,Touch,concept_PaaS,L
2024-12-12 09:54:52.680,Touch,concept_PaaS,L
2024-12-12 09:54:54.308,PlayVideo,video_zTcsSwKffL4,
2024-12-12 09:55:20.481,PlayVideo,video_zTcsSwKffL4,
2024-12-12 09:55:27.109,PlayVideo,video_zTcsSwKffL4,
2024-12-12 09:55:33.466,Pause,,
2024-12-12 09:55:41.295,Touch,concept_PaaS,R
2024-12-12 09:55:58.244,PlayAnnotation,ann13,
2024-12-12 09:57:06.280,Pause,,
2024-12-12 09:57:14.230,Teleport,,R
2024-12-12 09:57:17.230,Touch,concept_SaaS,L
2024-12-12 09:57:21.492,Teleport,,R
2024-12-12 09:57:27.475,PlayAnnotation,ann12,
2024-12-12 09:58:48.810,PlayVideo,video_zTcsSwKffL4,
2024-12-12 09:58:54.778,Pause,,
2024-12-12 09:59:06.430,Teleport,,R
2024-12-12 09:59:09.422,Touch,concept_risorse_hardware,R
2024-12-12 09:59:11.866,Touch,concept_risorse_hardware,R
2024-12-12 09:59:17.277,Teleport,,R
2024-12-12 09:59:18.716,PlayAnnotation,ann6,
2024-12-12 09:59:45.712,Pause,,
