Timestamp,Action,ActionID,Direction
2024-12-17 11:19:14.882,Teleport,,R
2024-12-17 11:19:19.893,PlayVideo,video_zTcsSwKffL4,
2024-12-17 11:19:23.800,PlayVideo,video_zTcsSwKffL4,
2024-12-17 11:19:34.534,Teleport,,R
2024-12-17 11:19:35.457,Pause,,
2024-12-17 11:19:50.760,Teleport,,R
2024-12-17 11:20:18.450,Teleport,,R
2024-12-17 11:20:25.651,Teleport,,R
2024-12-17 11:20:33.893,Teleport,,R
2024-12-17 11:20:45.957,Teleport,,R
2024-12-17 11:20:53.193,Teleport,,R
2024-12-17 11:21:18.205,Teleport,,R
2024-12-17 11:21:22.129,Teleport,,R
2024-12-17 11:21:24.263,Teleport,,R
2024-12-17 11:21:28.492,Teleport,,R
2024-12-17 11:21:41.421,Teleport,,R
2024-12-17 11:21:45.610,Teleport,,R
2024-12-17 11:21:46.863,Teleport,,R
2024-12-17 11:21:58.454,PlayVideo,video_zTcsSwKffL4,
2024-12-17 11:30:12.473,PlayVideo,video_zTcsSwKffL4,
2024-12-17 11:30:18.355,Pause,,
2024-12-17 11:30:28.721,Teleport,,R
2024-12-17 11:30:36.569,Teleport,,R
2024-12-17 11:30:45.480,Teleport,,R
2024-12-17 11:30:54.718,Teleport,,R
2024-12-17 11:30:59.116,Teleport,,R
2024-12-17 11:31:17.614,Teleport,,R
2024-12-17 11:31:24.960,Teleport,,R
2024-12-17 11:31:28.278,Teleport,,R
2024-12-17 11:31:33.991,Teleport,,R
2024-12-17 11:31:37.466,Teleport,,R
2024-12-17 11:31:39.926,Teleport,,R
2024-12-17 11:31:41.814,Teleport,,R
2024-12-17 11:31:48.620,Teleport,,R
2024-12-17 11:31:49.578,Grab,,R
2024-12-17 11:31:49.792,Release,,R
2024-12-17 11:31:50.102,Grab,,R
2024-12-17 11:31:50.220,Grab,,L
2024-12-17 11:31:50.643,Release,,R
2024-12-17 11:31:51.783,Release,,L
2024-12-17 11:32:04.688,Teleport,,R
2024-12-17 11:32:06.520,Teleport,,R
2024-12-17 11:32:08.521,Teleport,,R
2024-12-17 11:32:12.287,Teleport,,R
2024-12-17 11:32:14.313,Teleport,,R
2024-12-17 11:32:14.316,Touch,concept_fornitore_del_servizio,R
2024-12-17 11:32:16.591,Teleport,,R
2024-12-17 11:32:18.773,Touch,concept_software,R
2024-12-17 11:32:22.733,Touch,concept_fornitore_del_servizio,R
2024-12-17 11:32:23.178,Touch,concept_software,R
2024-12-17 11:32:23.193,Touch,concept_fornitore_del_servizio,R
2024-12-17 11:32:23.594,Touch,concept_software,R
2024-12-17 11:32:26.233,Touch,concept_fornitore_del_servizio,R
2024-12-17 11:32:30.185,Grab,,L
2024-12-17 11:32:31.965,Release,,L
2024-12-17 11:32:33.113,Grab,,L
2024-12-17 11:32:36.780,Release,,L
2024-12-17 11:32:49.200,Grab,,L
2024-12-17 11:32:49.850,Release,,L
2024-12-17 11:33:18.714,Touch,concept_software,R
2024-12-17 11:33:33.357,PlayAnnotation,ann5,
2024-12-17 11:34:20.286,Pause,,
2024-12-17 11:34:38.152,Teleport,,R
2024-12-17 11:34:42.584,Teleport,,R
2024-12-17 11:34:47.776,Teleport,,R
2024-12-17 11:34:50.680,Teleport,,R
2024-12-17 11:34:51.972,Touch,concept_risorse_hardware,R
2024-12-17 11:35:00.966,PlayAnnotation,ann6,
2024-12-17 11:35:27.975,PlayVideo,video_zTcsSwKffL4,
2024-12-17 11:35:34.367,PlayAnnotation,ann6,
2024-12-17 11:35:37.316,PlayAnnotation,ann6,
2024-12-17 11:35:40.498,Pause,,
