Timestamp,Action,ActionID,Direction
2024-12-17 09:47:12.151,Teleport,,R
2024-12-17 09:47:12.958,Teleport,,R
2024-12-17 09:47:14.107,Grab,,R
2024-12-17 09:47:19.425,Release,,R
2024-12-17 09:47:20.625,Grab,,R
2024-12-17 09:47:22.330,Teleport,,R
2024-12-17 09:47:25.786,Teleport,,R
2024-12-17 09:47:27.317,Teleport,,R
2024-12-17 09:47:28.280,Teleport,,R
2024-12-17 09:47:29.888,Teleport,,R
2024-12-17 09:47:33.679,Teleport,,R
2024-12-17 09:47:37.452,Teleport,,R
2024-12-17 09:47:40.927,Teleport,,R
2024-12-17 09:47:41.879,Teleport,,R
2024-12-17 09:47:44.229,Teleport,,R
2024-12-17 09:47:53.200,Release,,R
2024-12-17 09:47:58.997,Teleport,,R
2024-12-17 09:47:59.427,Teleport,,R
2024-12-17 09:48:17.902,Teleport,,R
2024-12-17 09:48:28.470,Teleport,,R
2024-12-17 09:48:28.824,Teleport,,R
2024-12-17 09:48:30.364,Grab,,R
2024-12-17 09:48:31.180,Teleport,,R
2024-12-17 09:48:31.618,Teleport,,R
2024-12-17 09:48:32.470,Release,,R
2024-12-17 09:48:41.932,Teleport,,R
2024-12-17 09:48:42.926,Teleport,,R
2024-12-17 09:48:53.452,Resume,,
2024-12-17 09:49:03.341,PlayVideo,video_zTcsSwKffL4,
2024-12-17 09:49:05.115,PlayVideo,video_zTcsSwKffL4,
2024-12-17 09:49:07.675,Teleport,,R
2024-12-17 09:49:08.480,Teleport,,R
2024-12-17 09:57:21.609,Teleport,,R
2024-12-17 09:57:21.757,Grab,,R
2024-12-17 09:57:21.957,Release,,R
2024-12-17 09:57:22.280,Teleport,,R
2024-12-17 09:57:22.993,Grab,,R
2024-12-17 09:57:23.187,Release,,R
2024-12-17 09:57:23.308,Grab,,R
2024-12-17 09:57:24.786,Release,,R
2024-12-17 09:57:27.635,Teleport,,R
2024-12-17 09:57:28.160,Teleport,,R
2024-12-17 09:57:34.947,Teleport,,R
2024-12-17 09:57:55.912,Teleport,,R
2024-12-17 09:58:07.164,Teleport,,R
2024-12-17 09:58:14.314,Teleport,,R
2024-12-17 09:58:15.244,Teleport,,R
2024-12-17 09:58:15.870,Teleport,,R
2024-12-17 09:58:21.309,Touch,concept_livello_fisico,R
2024-12-17 09:58:47.353,PlayAnnotation,ann9,
2024-12-17 09:58:49.798,PlayAnnotation,ann9,
2024-12-17 09:58:51.488,PlayAnnotation,ann9,
2024-12-17 09:59:31.148,PlayAnnotation,ann9,
2024-12-17 09:59:38.829,PlayAnnotation,ann9,
2024-12-17 09:59:39.433,Pause,,
2024-12-17 09:59:41.846,Pause,,
2024-12-17 10:00:13.874,Touch,concept_On-Premises,R
2024-12-17 10:00:20.235,PlayAnnotation,ann15,
2024-12-17 10:01:38.437,PlayVideo,video_zTcsSwKffL4,
2024-12-17 10:01:42.784,Grab,,L
2024-12-17 10:01:42.971,Release,,L
2024-12-17 10:01:43.968,Pause,,
