Timestamp,Action,ActionID,Direction
2024-12-11 09:09:21.752,Teleport,,R
2024-12-11 09:09:24.565,Teleport,,R
2024-12-11 09:09:29.318,Teleport,,R
2024-12-11 09:09:30.895,Teleport,,R
2024-12-11 09:09:32.428,Teleport,,R
2024-12-11 09:09:35.950,Teleport,,R
2024-12-11 09:09:39.218,Teleport,,R
2024-12-11 09:09:44.634,Teleport,,R
2024-12-11 09:09:46.941,Teleport,,R
2024-12-11 09:09:52.422,Teleport,,R
2024-12-11 09:09:54.746,Teleport,,R
2024-12-11 09:10:08.686,Teleport,,R
2024-12-11 09:10:10.117,Teleport,,R
2024-12-11 09:10:11.918,Teleport,,R
2024-12-11 09:10:23.960,Teleport,,R
2024-12-11 09:10:28.530,Resume,,
2024-12-11 09:10:32.297,PlayVideo,video_zTcsSwKffL4,
2024-12-11 09:18:43.733,Teleport,,R
2024-12-11 09:18:49.810,Teleport,,R
2024-12-11 09:18:51.354,Teleport,,R
2024-12-11 09:18:54.217,Teleport,,R
2024-12-11 09:18:58.230,Teleport,,R
2024-12-11 09:19:01.301,Teleport,,R
2024-12-11 09:19:03.751,Grab,,R
2024-12-11 09:19:05.790,Release,,R
2024-12-11 09:19:06.794,Grab,,R
2024-12-11 09:19:08.246,Release,,R
2024-12-11 09:19:08.819,Grab,,R
2024-12-11 09:19:10.260,Touch,concept_risorse_hardware,R
2024-12-11 09:19:10.754,Release,,R
2024-12-11 09:19:11.794,Grab,,R
2024-12-11 09:19:12.900,Release,,R
2024-12-11 09:19:24.807,Teleport,,R
2024-12-11 09:19:27.898,PlayAnnotation,ann6,
2024-12-11 09:19:50.386,PlayAnnotation,ann6,
2024-12-11 09:19:53.550,PlayAnnotation,ann6,
2024-12-11 09:19:56.600,PlayAnnotation,ann6,
2024-12-11 09:19:58.985,PlayAnnotation,ann6,
2024-12-11 09:20:01.873,PlayAnnotation,ann6,
2024-12-11 09:20:08.512,PlayAnnotation,ann6,
2024-12-11 09:20:11.162,PlayAnnotation,ann6,
2024-12-11 09:20:13.726,Pause,,
2024-12-11 09:20:29.691,Teleport,,R
2024-12-11 09:20:31.994,Touch,concept_livello_fisico,R
2024-12-11 09:20:39.425,Grab,,R
2024-12-11 09:20:39.465,Release,,R
2024-12-11 09:20:40.394,PlayAnnotation,ann9,
2024-12-11 09:21:16.255,Pause,,
2024-12-11 09:21:26.970,Teleport,,R
2024-12-11 09:21:28.616,Teleport,,R
2024-12-11 09:21:30.561,Teleport,,R
2024-12-11 09:21:36.394,Teleport,,R
2024-12-11 09:21:40.325,Teleport,,R
2024-12-11 09:21:45.767,Teleport,,R
2024-12-11 09:21:48.783,Teleport,,R
2024-12-11 09:21:49.880,Touch,concept_cloud_computing,R
2024-12-11 09:21:52.132,Grab,,R
2024-12-11 09:21:52.201,Release,,R
2024-12-11 09:21:55.596,PlayAnnotation,ann1,
2024-12-11 09:22:45.447,Pause,,
2024-12-11 09:22:50.329,Teleport,,R
2024-12-11 09:22:52.831,Teleport,,R
