Timestamp,Action,ActionID,Direction
2024-12-18 09:48:11.670,Teleport,,R
2024-12-18 09:48:14.785,Teleport,,R
2024-12-18 09:48:19.679,Teleport,,R
2024-12-18 09:48:21.884,Teleport,,R
2024-12-18 09:48:27.520,PlayVideo,video_zTcsSwKffL4,
2024-12-18 09:48:30.712,Teleport,,R
2024-12-18 09:48:35.664,PlayVideo,video_zTcsSwKffL4,
2024-12-18 09:48:42.388,PlayVideo,video_zTcsSwKffL4,
2024-12-18 09:48:54.347,Pause,,
2024-12-18 09:49:05.436,Teleport,,L
2024-12-18 09:49:06.498,Teleport,,L
2024-12-18 09:49:10.933,Teleport,,L
2024-12-18 09:49:27.707,Teleport,,L
2024-12-18 09:49:29.480,Teleport,,L
2024-12-18 09:49:46.738,Teleport,,R
2024-12-18 09:51:00.884,PlayVideo,video_zTcsSwKffL4,
2024-12-18 09:51:59.498,Teleport,,L
2024-12-18 09:52:31.227,Grab,,R
2024-12-18 09:52:31.306,Release,,R
2024-12-18 09:52:38.564,Pause,,
2024-12-18 09:52:56.434,Teleport,,R
2024-12-18 09:53:04.979,Teleport,,R
2024-12-18 09:53:06.196,Teleport,,R
2024-12-18 09:53:13.964,Resume,,
2024-12-18 09:53:37.701,Teleport,,L
2024-12-18 09:53:45.152,Teleport,,R
2024-12-18 09:53:46.745,Teleport,,R
2024-12-18 09:53:49.355,Teleport,,R
2024-12-18 09:53:57.864,Pause,,
2024-12-18 09:53:59.399,Resume,,
2024-12-18 09:55:53.531,Pause,,
2024-12-18 09:56:02.277,Grab,,R
2024-12-18 09:56:02.370,Release,,R
2024-12-18 09:56:05.604,Resume,,
2024-12-18 10:00:04.796,Resume,,
2024-12-18 10:00:06.300,Resume,,
2024-12-18 10:00:12.239,Teleport,,R
2024-12-18 10:00:14.710,Teleport,,R
2024-12-18 10:00:17.169,Teleport,,R
2024-12-18 10:00:31.657,Grab,,R
2024-12-18 10:00:31.946,Release,,R
2024-12-18 10:00:35.404,Teleport,,R
2024-12-18 10:00:37.698,Teleport,,R
2024-12-18 10:00:39.665,Teleport,,R
2024-12-18 10:00:41.448,Teleport,,R
2024-12-18 10:00:52.710,Teleport,,R
2024-12-18 10:00:53.656,Touch,concept_modello_di_cloud,R
2024-12-18 10:01:01.324,Teleport,,R
2024-12-18 10:01:03.150,Teleport,,R
2024-12-18 10:01:06.193,Teleport,,R
2024-12-18 10:01:07.663,Teleport,,R
2024-12-18 10:01:08.736,Teleport,,R
2024-12-18 10:01:26.263,Grab,,R
2024-12-18 10:01:26.410,Release,,R
2024-12-18 10:02:07.279,Touch,concept_PaaS,R
2024-12-18 10:02:39.540,PlayAnnotation,ann13,
2024-12-18 10:03:27.314,Pause,,
2024-12-18 10:03:27.885,Resume,,
2024-12-18 10:03:42.330,Pause,,
2024-12-18 10:04:11.760,Teleport,,R
2024-12-18 10:04:26.670,Teleport,,R
2024-12-18 10:04:30.983,Teleport,,R
2024-12-18 10:04:50.482,Touch,concept_servizio,R
2024-12-18 10:04:50.564,Grab,,L
2024-12-18 10:04:50.731,Release,,L
2024-12-18 10:05:05.510,PlayAnnotation,ann4,
2024-12-18 10:06:08.395,Pause,,
2024-12-18 10:06:13.184,Teleport,,R
2024-12-18 10:06:13.187,Touch,concept_modello_di_cloud,R
2024-12-18 10:06:14.223,Teleport,,R
2024-12-18 10:06:17.122,Teleport,,R
2024-12-18 10:06:19.501,Teleport,,R
2024-12-18 10:06:21.242,Teleport,,R
2024-12-18 10:06:28.146,Teleport,,R
2024-12-18 10:06:34.658,Touch,concept_fornitore_del_servizio,R
2024-12-18 10:06:36.305,Touch,concept_software,L
2024-12-18 10:06:36.398,Touch,concept_software,L
2024-12-18 10:06:43.824,PlayAnnotation,ann5,
2024-12-18 10:07:14.198,Pause,,
2024-12-18 10:07:22.391,Touch,concept_fornitore_del_servizio,L
2024-12-18 10:07:22.850,Touch,concept_fornitore_del_servizio,R
2024-12-18 10:07:26.600,PlayAnnotation,ann7,
2024-12-18 10:08:00.259,Pause,,
2024-12-18 10:08:32.876,Teleport,,R
2024-12-18 10:08:35.962,Touch,concept_infrastruttura_cloud,L
2024-12-18 10:08:48.572,PlayAnnotation,ann8,
2024-12-18 10:09:37.407,Pause,,
