Timestamp,Action,ActionID,Direction
2024-12-11 09:49:30.880,Teleport,,L
2024-12-11 09:49:41.373,Teleport,,L
2024-12-11 09:49:44.196,Teleport,,L
2024-12-11 09:49:46.483,Teleport,,L
2024-12-11 09:49:54.697,Teleport,,L
2024-12-11 09:49:56.549,Teleport,,L
2024-12-11 09:49:57.911,Teleport,,L
2024-12-11 09:50:03.474,Teleport,,L
2024-12-11 09:50:23.820,Teleport,,L
2024-12-11 09:50:33.781,Resume,,
2024-12-11 09:50:43.697,PlayVideo,video_zTcsSwKffL4,
2024-12-11 09:50:57.442,Teleport,,L
2024-12-11 09:58:51.111,Grab,,R
2024-12-11 09:58:51.237,Release,,R
2024-12-11 09:58:58.416,Teleport,,R
2024-12-11 09:59:06.485,Teleport,,R
2024-12-11 09:59:09.998,Touch,concept_modello_di_cloud,R
2024-12-11 09:59:14.750,Grab,concept_modello_di_cloud,R
2024-12-11 09:59:18.984,Release,concept_modello_di_cloud,R
2024-12-11 09:59:25.301,Teleport,,R
2024-12-11 09:59:34.805,Teleport,,R
2024-12-11 09:59:45.278,Grab,,R
2024-12-11 09:59:47.298,Release,,R
2024-12-11 09:59:54.181,Touch,concept_fornitore_del_servizio,R
2024-12-11 09:59:54.247,Release,,R
2024-12-11 09:59:54.567,Grab,concept_fornitore_del_servizio,R
2024-12-11 09:59:54.580,Grab,,R
2024-12-11 09:59:57.163,Release,concept_fornitore_del_servizio,R
2024-12-11 09:59:59.139,Touch,concept_livello_astratto,R
2024-12-11 09:59:59.916,Grab,concept_livello_astratto,R
2024-12-11 10:00:01.900,Release,concept_livello_astratto,R
2024-12-11 10:00:03.470,Touch,concept_infrastruttura_cloud,R
2024-12-11 10:00:03.929,Grab,concept_infrastruttura_cloud,R
2024-12-11 10:00:06.596,Release,concept_infrastruttura_cloud,R
2024-12-11 10:00:12.869,Grab,,L
2024-12-11 10:00:12.949,Release,,L
2024-12-11 10:00:14.721,Touch,concept_software,R
2024-12-11 10:00:15.206,Grab,concept_software,R
2024-12-11 10:00:17.858,Release,concept_software,R
2024-12-11 10:00:17.929,Touch,concept_fornitore_del_servizio,R
2024-12-11 10:00:24.911,Teleport,,R
2024-12-11 10:01:01.804,Teleport,,R
2024-12-11 10:01:07.941,Touch,concept_risorse_hardware,R
2024-12-11 10:01:20.604,Teleport,,R
2024-12-11 10:01:26.992,Grab,,R
2024-12-11 10:01:27.178,PlayAnnotation,ann6,
2024-12-11 10:01:27.231,Release,,R
2024-12-11 10:01:46.608,Pause,,
2024-12-11 10:01:59.997,Teleport,,R
2024-12-11 10:02:01.483,Touch,concept_livello_astratto,R
2024-12-11 10:02:04.119,Grab,concept_livello_astratto,R
2024-12-11 10:02:06.385,Release,concept_livello_astratto,R
2024-12-11 10:02:08.801,Touch,concept_infrastruttura_cloud,R
2024-12-11 10:02:09.896,Grab,concept_infrastruttura_cloud,R
2024-12-11 10:02:11.564,Release,concept_infrastruttura_cloud,R
2024-12-11 10:02:14.959,Teleport,,R
2024-12-11 10:02:39.910,Teleport,,R
2024-12-11 10:02:47.300,Teleport,,R
2024-12-11 10:02:47.305,Touch,concept_cloud_computing,R
2024-12-11 10:02:56.127,Grab,,R
2024-12-11 10:02:56.168,Release,,R
2024-12-11 10:03:05.993,PlayAnnotation,ann1,
2024-12-11 10:03:56.949,Pause,,
2024-12-11 10:04:04.520,PlayAnnotation,ann3,
2024-12-11 10:04:57.697,Grab,,R
2024-12-11 10:04:57.890,Release,,R
2024-12-11 10:04:58.260,PlayVideo,video_zTcsSwKffL4,
2024-12-11 10:05:01.360,Teleport,,R
2024-12-11 10:05:05.825,Pause,,
