Timestamp,Action,ActionID,Direction
2024-12-09 10:18:16.382,Teleport,,R
2024-12-09 10:18:20.854,Teleport,,R
2024-12-09 10:18:25.128,Release,,R
2024-12-09 10:18:25.740,Grab,,R
2024-12-09 10:18:32.909,Grab,,R
2024-12-09 10:18:32.991,Release,,R
2024-12-09 10:18:34.152,PlayVideo,video_zTcsSwKffL4,
2024-12-09 10:18:48.491,Pause,,
2024-12-09 10:18:59.489,Teleport,,R
2024-12-09 10:19:01.259,Teleport,,R
2024-12-09 10:19:02.895,Teleport,,R
2024-12-09 10:19:04.442,Teleport,,R
2024-12-09 10:19:18.721,Teleport,,R
2024-12-09 10:19:20.435,Teleport,,R
2024-12-09 10:19:22.852,Teleport,,R
2024-12-09 10:19:30.734,PlayVideo,video_zTcsSwKffL4,
2024-12-09 10:19:32.563,PlayVideo,video_zTcsSwKffL4,
2024-12-09 10:26:59.687,Grab,,R
2024-12-09 10:26:59.783,Grab,,L
2024-12-09 10:26:59.964,Release,,L
2024-12-09 10:26:59.966,Release,,R
2024-12-09 10:27:02.230,Grab,,L
2024-12-09 10:27:02.716,Release,,L
2024-12-09 10:28:09.741,Resume,,
2024-12-09 10:28:11.440,PlayVideo,video_zTcsSwKffL4,
2024-12-09 10:28:12.505,Teleport,,R
2024-12-09 10:29:53.173,PlayVideo,video_zTcsSwKffL4,
2024-12-09 10:29:58.245,Pause,,
2024-12-09 10:30:13.644,PlayVideo,video_zTcsSwKffL4,
2024-12-09 10:30:14.740,PlayVideo,video_zTcsSwKffL4,
2024-12-09 10:30:16.739,Teleport,,R
2024-12-09 10:30:21.594,Pause,,
2024-12-09 10:30:34.677,Teleport,,R
2024-12-09 10:30:44.795,Touch,concept_risorse_hardware,R
2024-12-09 10:30:54.497,Teleport,,R
2024-12-09 10:31:01.123,Teleport,,R
2024-12-09 10:31:06.199,PlayAnnotation,ann6,
2024-12-09 10:31:26.462,PlayVideo,video_zTcsSwKffL4,
2024-12-09 10:31:30.876,Pause,,
