Timestamp,Action,ActionID,Direction
2024-12-19 10:56:43.954,Teleport,,R
2024-12-19 10:56:46.983,Teleport,,R
2024-12-19 10:56:59.676,Teleport,,R
2024-12-19 10:57:00.498,Teleport,,L
2024-12-19 10:57:06.281,Teleport,,R
2024-12-19 10:57:07.434,Teleport,,R
2024-12-19 10:57:08.845,Teleport,,R
2024-12-19 10:57:10.495,Teleport,,L
2024-12-19 10:57:14.843,Teleport,,R
2024-12-19 10:57:19.800,Teleport,,L
2024-12-19 10:57:32.167,Teleport,,L
2024-12-19 10:57:35.621,Teleport,,R
2024-12-19 10:57:35.688,Teleport,,L
2024-12-19 10:57:47.792,Teleport,,L
2024-12-19 10:57:49.698,Teleport,,R
2024-12-19 10:58:04.170,PlayVideo,video_zTcsSwKffL4,
2024-12-19 11:06:17.322,Teleport,,R
2024-12-19 11:06:17.878,Teleport,,R
2024-12-19 11:06:24.330,Teleport,,R
2024-12-19 11:06:27.360,Teleport,,R
2024-12-19 11:06:46.292,Teleport,,R
2024-12-19 11:06:57.190,Touch,concept_IaaS,R
2024-12-19 11:06:59.220,Grab,concept_IaaS,R
2024-12-19 11:07:01.729,Release,concept_IaaS,R
2024-12-19 11:07:16.354,PlayAnnotation,ann14,
2024-12-19 11:07:17.898,Grab,,R
2024-12-19 11:07:17.989,Release,,R
2024-12-19 11:07:18.633,PlayAnnotation,ann14,
2024-12-19 11:08:03.990,PlayVideo,video_zTcsSwKffL4,
2024-12-19 11:08:10.507,Touch,concept_livello_astratto,R
2024-12-19 11:08:12.735,Grab,concept_livello_astratto,R
2024-12-19 11:08:13.400,Release,concept_livello_astratto,R
2024-12-19 11:08:13.751,Grab,concept_livello_astratto,R
2024-12-19 11:08:17.444,Release,concept_livello_astratto,R
2024-12-19 11:08:19.405,Grab,concept_livello_astratto,R
2024-12-19 11:08:19.444,Release,concept_livello_astratto,R
2024-12-19 11:08:19.831,Pause,,
2024-12-19 11:08:23.146,Grab,,R
2024-12-19 11:08:23.225,Release,,R
2024-12-19 11:08:23.432,PlayAnnotation,ann10,
2024-12-19 11:08:47.149,PlayAnnotation,ann10,
2024-12-19 11:08:51.415,Grab,,R
2024-12-19 11:08:51.617,Release,,R
2024-12-19 11:08:51.716,PlayVideo,video_zTcsSwKffL4,
2024-12-19 11:08:55.992,Grab,,R
2024-12-19 11:08:57.600,Release,,R
2024-12-19 11:08:58.224,Touch,concept_caratteristica,R
2024-12-19 11:09:00.780,Teleport,,R
2024-12-19 11:09:06.409,Teleport,,R
2024-12-19 11:09:09.710,Touch,concept_caratteristica,R
2024-12-19 11:09:23.646,Touch,concept_caratteristica,R
2024-12-19 11:09:23.684,Grab,concept_caratteristica,R
2024-12-19 11:09:23.763,Release,concept_caratteristica,R
2024-12-19 11:09:23.952,PlayAnnotation,ann17,
2024-12-19 11:09:26.151,Touch,concept_caratteristica,R
2024-12-19 11:09:29.820,Touch,concept_caratteristica,R
2024-12-19 11:09:29.928,Touch,concept_caratteristica,R
2024-12-19 11:09:30.183,Touch,concept_caratteristica,R
2024-12-19 11:09:39.849,Touch,concept_caratteristica,R
