Timestamp,Action,ActionID,Direction
2024-12-17 11:49:46.494,Grab,,R
2024-12-17 11:49:46.639,Release,,R
2024-12-17 11:49:52.506,Teleport,,R
2024-12-17 11:49:57.308,Teleport,,R
2024-12-17 11:50:00.887,Teleport,,R
2024-12-17 11:50:09.308,Teleport,,R
2024-12-17 11:50:11.608,Teleport,,R
2024-12-17 11:50:14.402,Teleport,,R
2024-12-17 11:50:29.250,Teleport,,R
2024-12-17 11:50:30.756,Teleport,,R
2024-12-17 11:50:35.186,Teleport,,R
2024-12-17 11:51:04.457,Teleport,,R
2024-12-17 11:51:05.999,Teleport,,R
2024-12-17 11:51:08.696,Teleport,,R
2024-12-17 11:51:11.940,Teleport,,R
2024-12-17 11:51:34.521,PlayVideo,video_zTcsSwKffL4,
2024-12-17 11:51:36.461,PlayVideo,video_zTcsSwKffL4,
2024-12-17 12:00:01.694,Teleport,,R
2024-12-17 12:00:05.669,Teleport,,R
2024-12-17 12:00:09.707,Teleport,,R
2024-12-17 12:00:12.140,Teleport,,R
2024-12-17 12:00:13.961,Touch,concept_SaaS,R
2024-12-17 12:00:19.806,Touch,concept_SaaS,R
2024-12-17 12:00:20.850,Grab,,L
2024-12-17 12:00:22.918,Release,,L
2024-12-17 12:00:52.292,PlayAnnotation,ann12,
2024-12-17 12:00:54.489,PlayAnnotation,ann12,
2024-12-17 12:00:56.362,PlayAnnotation,ann12,
2024-12-17 12:01:00.726,Teleport,,R
2024-12-17 12:01:03.222,Grab,,L
2024-12-17 12:01:03.411,Release,,L
2024-12-17 12:02:51.773,Pause,,
