Timestamp,Action,ActionID,Direction
2024-12-09 11:00:10.169,Teleport,,R
2024-12-09 11:00:12.889,Teleport,,R
2024-12-09 11:00:18.108,Teleport,,R
2024-12-09 11:00:19.625,Teleport,,R
2024-12-09 11:00:20.891,Teleport,,R
2024-12-09 11:00:23.371,Teleport,,R
2024-12-09 11:00:27.257,Teleport,,R
2024-12-09 11:00:29.568,Teleport,,R
2024-12-09 11:00:31.163,Teleport,,R
2024-12-09 11:00:32.534,Teleport,,R
2024-12-09 11:00:34.553,Teleport,,R
2024-12-09 11:00:37.363,Teleport,,R
2024-12-09 11:00:39.195,Teleport,,R
2024-12-09 11:00:40.507,Teleport,,R
2024-12-09 11:00:44.147,Teleport,,R
2024-12-09 11:00:45.567,Teleport,,R
2024-12-09 11:00:50.623,Teleport,,R
2024-12-09 11:01:00.364,PlayVideo,video_zTcsSwKffL4,
2024-12-09 11:01:03.285,Pause,,
2024-12-09 11:01:07.651,PlayVideo,video_zTcsSwKffL4,
2024-12-09 11:01:11.600,PlayVideo,video_zTcsSwKffL4,
2024-12-09 11:02:39.331,Teleport,,R
2024-12-09 11:02:43.205,PlayVideo,video_zTcsSwKffL4,
2024-12-09 11:02:43.219,Touch,concept_risorse_hardware,L
2024-12-09 11:02:59.937,Teleport,,R
2024-12-09 11:03:12.705,Teleport,,R
2024-12-09 11:03:15.700,Grab,,L
2024-12-09 11:03:22.592,Release,,L
2024-12-09 11:03:25.619,Teleport,,R
2024-12-09 11:03:26.689,Grab,,L
2024-12-09 11:03:31.299,Release,,L
2024-12-09 11:03:34.536,Teleport,,R
2024-12-09 11:03:45.439,Pause,,
2024-12-09 11:03:53.788,Teleport,,R
2024-12-09 11:03:58.994,Grab,,L
2024-12-09 11:03:59.161,Release,,L
2024-12-09 11:03:59.508,Touch,concept_software,R
2024-12-09 11:04:04.606,Touch,concept_software,R
2024-12-09 11:04:06.302,Touch,concept_software,R
2024-12-09 11:04:23.900,Resume,,
2024-12-09 11:04:24.759,Teleport,,R
2024-12-09 11:05:52.144,Teleport,,R
2024-12-09 11:05:54.186,Touch,concept_infrastruttura_cloud,R
2024-12-09 11:05:58.711,Teleport,,R
2024-12-09 11:11:36.667,PlayAnnotation,ann8,
2024-12-09 11:11:41.858,Grab,,R
2024-12-09 11:11:42.272,Release,,R
2024-12-09 11:11:44.523,Teleport,,R
2024-12-09 11:11:45.301,Touch,concept_caratteristica,R
2024-12-09 11:11:50.368,Teleport,,R
2024-12-09 11:11:52.540,PlayAnnotation,ann17,
2024-12-09 11:11:58.701,Pause,,
2024-12-09 11:12:03.826,Teleport,,R
2024-12-09 11:12:06.967,Teleport,,R
2024-12-09 11:12:08.370,Touch,concept_IaaS,R
2024-12-09 11:12:10.689,PlayAnnotation,ann14,
2024-12-09 11:12:13.559,Teleport,,R
2024-12-09 11:12:30.495,Teleport,,R
2024-12-09 11:12:31.742,Touch,concept_modello_di_cloud,R
2024-12-09 11:12:32.826,Touch,concept_PaaS,R
2024-12-09 11:12:33.494,Touch,concept_modello_di_cloud,R
2024-12-09 11:12:36.827,Teleport,,R
2024-12-09 11:12:38.675,Touch,concept_PaaS,R
2024-12-09 11:12:41.423,PlayAnnotation,ann13,
2024-12-09 11:12:58.361,Teleport,,R
2024-12-09 11:13:01.750,Touch,concept_SaaS,R
2024-12-09 11:13:03.565,PlayAnnotation,ann12,
2024-12-09 11:13:07.213,Teleport,,R
2024-12-09 11:13:18.630,Pause,,
2024-12-09 11:13:31.480,Touch,concept_caratteristica,L
2024-12-09 11:13:31.603,Touch,concept_caratteristica,R
