Timestamp,Action,ActionID,Direction
2024-12-23 09:54:03.418,Teleport,,R
2024-12-23 09:54:25.544,Teleport,,R
2024-12-23 09:54:37.357,Teleport,,R
2024-12-23 09:54:39.327,Teleport,,R
2024-12-23 09:54:46.268,Teleport,,R
2024-12-23 09:54:54.487,Teleport,,R
2024-12-23 09:54:58.958,Teleport,,R
2024-12-23 09:55:03.141,Teleport,,R
2024-12-23 09:55:05.357,Grab,,R
2024-12-23 09:55:06.266,Teleport,,R
2024-12-23 09:55:06.810,Release,,R
2024-12-23 09:55:09.363,Teleport,,R
2024-12-23 09:55:10.543,Teleport,,R
2024-12-23 09:55:12.906,Teleport,,R
2024-12-23 09:55:28.839,Teleport,,R
2024-12-23 09:55:30.397,Teleport,,R
2024-12-23 09:55:31.480,Teleport,,R
2024-12-23 09:55:33.160,Teleport,,R
2024-12-23 09:55:35.267,Teleport,,R
2024-12-23 09:56:07.103,Release,,L
2024-12-23 09:56:07.700,Grab,,L
2024-12-23 09:56:24.354,Grab,,L
2024-12-23 09:56:48.467,Release,,L
2024-12-23 09:57:04.432,Teleport,,R
2024-12-23 09:57:05.357,Teleport,,R
2024-12-23 09:57:11.192,Teleport,,R
2024-12-23 09:57:12.144,Teleport,,R
2024-12-23 09:57:23.502,Teleport,,R
2024-12-23 09:57:24.250,Teleport,,R
2024-12-23 09:57:25.257,Teleport,,R
2024-12-23 09:57:28.705,Teleport,,R
2024-12-23 09:57:35.955,Teleport,,R
2024-12-23 09:57:53.400,Resume,,
2024-12-23 09:57:56.529,PlayVideo,video_zTcsSwKffL4,
2024-12-23 09:58:01.920,Teleport,,R
2024-12-23 10:00:28.132,Teleport,,R
2024-12-23 10:06:18.934,Teleport,,R
2024-12-23 10:06:21.899,Teleport,,R
2024-12-23 10:06:23.192,Grab,,R
2024-12-23 10:06:23.500,Release,,R
2024-12-23 10:06:37.846,Teleport,,R
2024-12-23 10:06:43.237,Teleport,,R
2024-12-23 10:06:43.241,Touch,concept_modello_di_cloud,R
2024-12-23 10:07:25.850,PlayAnnotation,ann11,
2024-12-23 10:09:34.176,Pause,,
2024-12-23 10:09:59.257,Resume,,
2024-12-23 10:10:01.702,Teleport,,R
2024-12-23 10:10:15.327,Grab,,L
2024-12-23 10:10:15.438,Release,,L
2024-12-23 10:10:42.320,Pause,,
2024-12-23 10:11:49.547,Resume,,
2024-12-23 10:12:18.126,Pause,,
2024-12-23 10:12:29.174,Teleport,,R
2024-12-23 10:12:33.556,Teleport,,R
2024-12-23 10:12:37.923,Teleport,,R
2024-12-23 10:13:02.405,Touch,concept_livello_fisico,R
2024-12-23 10:13:13.517,PlayAnnotation,ann9,
2024-12-23 10:13:47.366,Pause,,
