Timestamp,Action,ActionID,Direction
2024-12-23 09:21:03.550,Teleport,,R
2024-12-23 09:21:12.196,Teleport,,L
2024-12-23 09:21:14.769,Teleport,,R
2024-12-23 09:21:16.906,Teleport,,R
2024-12-23 09:21:24.478,Teleport,,R
2024-12-23 09:21:35.340,Teleport,,R
2024-12-23 09:21:36.745,Teleport,,R
2024-12-23 09:21:45.494,Teleport,,R
2024-12-23 09:22:01.417,Teleport,,R
2024-12-23 09:22:02.855,Teleport,,R
2024-12-23 09:22:03.891,Teleport,,R
2024-12-23 09:22:10.777,Teleport,,R
2024-12-23 09:22:31.669,Resume,,
2024-12-23 09:22:35.458,PlayVideo,video_zTcsSwKffL4,
2024-12-23 09:28:16.328,Teleport,,R
2024-12-23 09:30:55.534,Teleport,,R
2024-12-23 09:30:57.481,Touch,concept_caratteristica,R
2024-12-23 09:31:15.406,Touch,concept_caratteristica,R
2024-12-23 09:31:15.461,Touch,concept_caratteristica,R
2024-12-23 09:31:17.622,PlayAnnotation,ann17,
2024-12-23 09:31:38.317,Teleport,,R
2024-12-23 09:33:34.210,Grab,,R
2024-12-23 09:33:34.322,Release,,R
2024-12-23 09:33:35.210,Teleport,,R
