Timestamp,Action,ActionID,Direction
2024-12-18 09:10:30.993,Teleport,,R
2024-12-18 09:10:32.855,Teleport,,R
2024-12-18 09:10:34.705,Teleport,,R
2024-12-18 09:10:38.125,Teleport,,L
2024-12-18 09:10:40.405,Teleport,,L
2024-12-18 09:10:42.250,Teleport,,L
2024-12-18 09:10:45.450,Teleport,,L
2024-12-18 09:10:45.680,Teleport,,L
2024-12-18 09:10:51.555,Teleport,,L
2024-12-18 09:11:24.925,Teleport,,R
2024-12-18 09:11:26.990,Teleport,,R
2024-12-18 09:11:35.328,Resume,,
2024-12-18 09:11:37.749,PlayVideo,video_zTcsSwKffL4,
2024-12-18 09:17:02.884,Teleport,,R
2024-12-18 09:18:25.440,Teleport,,R
2024-12-18 09:18:27.863,Pause,,
2024-12-18 09:18:46.585,PlayVideo,video_zTcsSwKffL4,
2024-12-18 09:18:58.190,Pause,,
2024-12-18 09:19:37.473,Teleport,,R
2024-12-18 09:19:51.628,Teleport,,R
2024-12-18 09:20:01.678,Teleport,,R
2024-12-18 09:20:10.980,Touch,concept_On-Premises,R
2024-12-18 09:20:17.616,PlayAnnotation,ann15,
2024-12-18 09:20:20.280,PlayAnnotation,ann15,
2024-12-18 09:23:23.901,Teleport,,R
2024-12-18 09:23:33.420,Resume,,
2024-12-18 09:23:34.690,Teleport,,R
2024-12-18 09:23:36.368,Teleport,,R
2024-12-18 09:24:20.130,Touch,concept_risorse_hardware,R
2024-12-18 09:24:41.642,PlayAnnotation,ann6,
2024-12-18 09:25:09.343,PlayVideo,video_zTcsSwKffL4,
2024-12-18 09:25:15.795,Pause,,
2024-12-18 09:25:26.686,Teleport,,R
2024-12-18 09:25:34.347,Touch,concept_SaaS,R
2024-12-18 09:25:36.131,Touch,concept_SaaS,R
2024-12-18 09:25:41.521,PlayAnnotation,ann12,
2024-12-18 09:26:37.770,Pause,,
2024-12-18 09:26:53.562,Teleport,,R
2024-12-18 09:27:04.918,Touch,concept_modello_di_cloud,R
2024-12-18 09:27:08.296,Grab,,R
2024-12-18 09:27:09.417,Release,,R
2024-12-18 09:27:11.499,Touch,concept_modello_di_cloud,R
2024-12-18 09:27:12.483,Touch,concept_modello_di_cloud,R
2024-12-18 09:27:29.150,PlayAnnotation,ann16,
2024-12-18 09:28:21.269,PlayVideo,video_zTcsSwKffL4,
2024-12-18 09:28:24.973,Touch,concept_caratteristica,R
2024-12-18 09:28:25.778,Grab,concept_caratteristica,R
2024-12-18 09:28:28.850,Release,concept_caratteristica,R
2024-12-18 09:28:32.200,Pause,,
2024-12-18 09:28:48.296,Touch,concept_livello_astratto,R
2024-12-18 09:28:50.634,PlayAnnotation,ann10,
2024-12-18 09:28:55.224,Pause,,
2024-12-18 09:28:58.796,Resume,,
2024-12-18 09:29:16.860,Pause,,
