Timestamp,Action,Field1,Field2,Field3,Field4,Field5,ActionID,Direction
2025-11-14 14:23:57.977,Teleport,R,,,,,,R
2025-11-14 14:23:59.409,Teleport,R,,,,,,R
2025-11-14 14:24:14.264,Teleport,R,,,,,,R
2025-11-14 14:24:15.390,Teleport,R,,,,,,R
2025-11-14 14:24:16.501,Teleport,R,,,,,,R
2025-11-14 14:24:20.479,Teleport,R,,,,,,R
2025-11-14 14:24:21.819,Touch,table,concept_modello_di_cloud,R,,,concept_modello_di_cloud,R
2025-11-14 14:24:22.242,Grab,table,concept_modello_di_cloud,R,,,concept_modello_di_cloud,R
2025-11-14 14:24:26.341,Release,table,concept_modello_di_cloud,R,,,concept_modello_di_cloud,R
2025-11-14 14:24:38.887,Teleport,R,,,,,,R
2025-11-14 14:24:39.835,Teleport,R,,,,,,R
2025-11-14 14:24:42.703,Teleport,R,,,,,,R
2025-11-14 14:24:45.614,Teleport,R,,,,,,R
2025-11-14 14:24:49.985,Touch,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:24:50.375,Grab,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:24:54.107,Release,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:24:54.945,Touch,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:25:15.743,PlayAnnotation,ann1,,,,,,
2025-11-14 14:25:34.131,Pause,,,,,,,
2025-11-14 14:25:40.254,Teleport,R,,,,,,R
2025-11-14 14:25:41.360,Teleport,R,,,,,,R
2025-11-14 14:25:41.948,Teleport,R,,,,,,R
2025-11-14 14:25:43.234,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:25:45.312,Teleport,R,,,,,,R
2025-11-14 14:25:45.942,Touch,table,concept_servizio,R,,,concept_servizio,R
2025-11-14 14:25:46.330,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:25:46.708,Teleport,R,,,,,,R
2025-11-14 14:25:47.202,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:25:47.794,Grab,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:25:52.464,Teleport,R,,,,,,R
2025-11-14 14:25:53.329,Teleport,R,,,,,,R
2025-11-14 14:25:55.140,Teleport,R,,,,,,R
2025-11-14 14:25:58.225,Release,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:00.982,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:01.262,Grab,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:03.634,Release,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:03.911,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:05.149,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:05.527,Grab,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:05.931,MatchAttempt,concept_cloud_computing,concept_cloud_computing,True,,,,
2025-11-14 14:26:05.933,ConceptSolve,concept_cloud_computing,14:24:49,14:26:05,75.949219,1.0,,
2025-11-14 14:26:05.934,ScoreSummary,1,1,75.949219,100.0,,,
2025-11-14 14:26:05.946,Touch,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:06.666,Grab,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:06.707,Release,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-11-14 14:26:31.834,Teleport,R,,,,,,R
2025-11-14 14:26:32.474,Touch,map,concept_servizio,R,,,concept_servizio,R
2025-11-14 14:26:39.303,PlayAnnotation,ann4,,,,,,
2025-11-14 14:27:02.185,Teleport,R,,,,,,R
2025-11-14 14:27:05.264,Pause,,,,,,,
2025-11-14 14:27:08.102,Teleport,R,,,,,,R
2025-11-14 14:27:09.900,Teleport,R,,,,,,R
2025-11-14 14:27:13.491,Teleport,R,,,,,,R
2025-11-14 14:27:14.519,Touch,table,concept_servizio,R,,,concept_servizio,R
2025-11-14 14:27:16.435,Teleport,R,,,,,,R
2025-11-14 14:27:16.899,Touch,table,concept_caratteristica,R,,,concept_caratteristica,R
2025-11-14 14:27:16.952,Touch,table,concept_software,R,,,concept_software,R
2025-11-14 14:27:17.114,Touch,table,concept_IaaS,R,,,concept_IaaS,R
2025-11-14 14:27:17.249,Touch,table,concept_servizio,R,,,concept_servizio,R
2025-11-14 14:27:17.830,Teleport,R,,,,,,R
2025-11-14 14:27:18.206,Touch,table,concept_servizio,R,,,concept_servizio,R
2025-11-14 14:27:18.555,Grab,table,concept_servizio,R,,,concept_servizio,R
2025-11-14 14:27:19.893,Touch,table,concept_servizio,L,,,concept_servizio,
2025-11-14 14:27:22.950,Touch,table,concept_servizio,L,,,concept_servizio,
2025-11-14 14:27:23.792,Teleport,L,,,,,,
2025-11-14 14:27:24.418,Touch,table,concept_servizio,L,,,concept_servizio,
2025-11-14 14:27:24.530,Touch,table,concept_servizio,L,,,concept_servizio,
2025-11-14 14:27:24.655,Teleport,L,,,,,,
2025-11-14 14:27:24.734,Touch,table,concept_servizio,L,,,concept_servizio,
2025-11-14 14:27:24.806,Touch,table,concept_servizio,L,,,concept_servizio,
2025-11-14 14:27:25.240,Touch,table,concept_servizio,L,,,concept_servizio,
2025-11-14 14:27:25.755,Teleport,L,,,,,,
2025-11-14 14:27:27.206,Teleport,L,,,,,,
2025-11-14 14:27:27.429,Teleport,L,,,,,,
2025-11-14 14:27:29.710,Teleport,L,,,,,,
2025-11-14 14:27:29.783,MatchAttempt,concept_servizio,concept_servizio,True,,,,
2025-11-14 14:27:29.785,ConceptSolve,concept_servizio,14:25:45,14:27:29,103.84375,1.0,,
2025-11-14 14:27:29.786,ScoreSummary,2,2,89.896484,100.0,,,
2025-11-14 14:27:29.799,Touch,map,concept_servizio,R,,,concept_servizio,R
2025-11-14 14:27:34.140,Teleport,R,,,,,,R
2025-11-14 14:27:37.526,Touch,map,concept_software,R,,,concept_software,R
2025-11-14 14:27:39.895,PlayAnnotation,ann5,,,,,,
2025-11-14 14:27:59.105,Pause,,,,,,,
2025-11-14 14:28:01.154,Teleport,R,,,,,,R
2025-11-14 14:28:01.813,Teleport,R,,,,,,R
2025-11-14 14:28:02.623,Teleport,R,,,,,,R
2025-11-14 14:28:03.443,Touch,table,concept_modello_di_cloud,R,,,concept_modello_di_cloud,R
