,S0,S1,S2
S0,0.11035372871909419,0.8832362356924012,0.0064100355885046085
S1,0.7022250284271133,0.10464751881628627,0.19312745275660032
S2,0.16491736869149745,0.013285531735599208,0.8217970995729034
