,S0,S1,S2
S0,0.11402926623881664,0.8821229672611448,0.003847766500038547
S1,0.7285576703410841,0.15270683580791872,0.11873549385099706
S2,0.13369084216737723,0.0012094214380845834,0.8650997363945382
