,ConceptSolve,Grab,MatchAttempt,Pause,PlayAnnotation,PlayVideo,Release,Resume,ScoreSummary,Teleport,Touch
S0,1.2564130221623609e-163,0.05799123531054446,0.1287398021651576,0.02560286796364595,0.15851209366925348,0.027365726013396374,4.132755478035301e-12,0.018354896512943038,0.12067649767233432,0.4053612533483339,0.05739562734025807
S1,0.12095287876806712,2.331339286452431e-28,0.000557719747911999,0.12479905080891408,0.02628157203317463,0.009289437349750655,0.01629428379320854,0.0024818366593346267,1.9565178043372416e-88,0.2742393886047266,0.4251038322349119
S2,2.244348338134943e-254,0.25569127036847905,6.4151723204191275e-22,9.510383754521733e-06,0.003766647274672154,7.560659838207294e-11,0.18330540777576393,2.6048224033424497e-39,9.833028834723262e-52,0.03607345714089771,0.5211537069808261
