,ConceptSolve,Grab,MatchAttempt,Pause,PlayAnnotation,PlayVideo,Release,Resume,ScoreSummary,Teleport,Touch
S0,2.3050530833587976e-184,0.09531455994099983,0.1227990898049188,0.01779448595818392,0.14305558868600915,0.014009675907175258,6.633438350989985e-16,0.01647088170370811,0.11122066899453781,0.41319655358627844,0.06613849541818793
S1,0.107141357916959,1.0567794849406389e-23,0.004266832536985824,0.10201235053384276,0.026150096629861924,0.008581779015685544,0.02668084799296098,0.0010161119214165055,1.0435996832708905e-95,0.27478682140186517,0.44936380205042226
S2,2.173012200959477e-222,0.2581803259242194,0.005221220080177733,7.043634152520086e-19,1.1715846159804042e-11,5.577792118895074e-19,0.21088791136971516,1.0562461932080925e-52,2.1064504691589135e-84,0.012837054805905029,0.5128734878082669
