,S0,S1,S2
S0,0.13046681449030292,0.8600725358009542,0.009460649708742868
S1,0.7587850714809387,0.156055999530321,0.0851589289887404
S2,0.10141731466743735,0.00017869416019841738,0.8984039911723642
