,ConceptSolve,Grab,MatchAttempt,Pause,PlayAnnotation,PlayVideo,Release,Resume,ScoreSummary,Teleport,Touch
S0,9.077381819433466e-209,0.1072909483937805,0.12269970911859644,0.014101749363276034,0.1329434762487732,0.0035114306951401645,5.4306423107409654e-33,0.015107329712265714,0.10640814889962981,0.43131879317435523,0.0666184143941828
S1,0.10471728050895036,1.9451204443202634e-26,0.0061004268585195965,0.08825400176458244,0.025598566990072624,0.007119053092449028,0.028190397466194565,6.867171807295616e-11,5.106444827146247e-117,0.2805734602665127,0.45944681298404705
S2,3.358142587343265e-252,0.25246517122394896,0.011031968752882504,3.511222236073879e-74,1.6593261979633694e-36,0.0004485161109793279,0.22287744956288297,5.563441311274921e-79,8.272879164330712e-138,0.01140300494788215,0.501773889401424
